Title,.txt file,Link,Notes,Screenshot,Type,Cohort,Baseline Vs Strategy
CLC invite sequence Jan 2023,Invite Sequence - CLC Launch Jan 2023.txt (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/waSUKbq27vJdix3C9Tq-0Q/Q-mh-hmSuTNREW1ZAUdp0QhLWT-u20RgHQyOVQckLVSMQy8DqxUQ2U8Z9XOVQx8jzoxwA0-6w1UMv3isMP6U0EauSl4SXJok9FlFdy9L1beaLwPJlAf9hFktJbUaaqkvXgJOpfl_Y_sX3NGNqlZFzcrocUS3e7xu1J3BsCfTRhntaM2h1cCwMqMycq635eAc/niPF1YWiiimsr97tkRWog8nePXo_seJbkRInFOl6jUM),https://docs.google.com/document/d/1Kr1QGX6BAI8QjNIEN7cC9DTQ971LKzqHvKkCKHLdWKE/edit?tab=t.0#heading=h.ulnhz9bdem3r,"This invite sequence has seminar emails that was promoted to members and webinar emails that was promoted to non-members seperately - But for 2026 we are only doing a 4h seminar with different speakers for everyone

Date for invite emails for 2026: 

5 feb, 6 feb, 7 feb, 9 feb, 10 feb, 12 feb, 13 feb, 14 feb (live seminar day) , 15 feb (CLC product announcement) ",,,,Baseline
CLC Show up sequence Jan 2023,Show Up - CLC Launch Jan 2023.txt (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/0RGQ8NT_S453wv9KcrOi2Q/XwsNVnz51ZfQl8nZDaHx1z9r0ucdDg4d8V_jUsTTESO3ixJM0_iRk3p20q6XGSYQMDQ_bew1cNJVd1WqV0PtBG0GOK-IB0xP_nnMLpQ3kDF49nOv3XbMYHac2EGZQQX3nSs4gHjTMkF5yknmCnkTMQlLKM5C-6YMfSPZfBoIceLk0mWO9GzoStt1mppBN6uZ/88LIwx9i5bHL7rQKiFavK5NWFfWsrHP4O0FgCmUZMto),https://docs.google.com/document/d/1zeAQFQRRiqtcVlptDDm1L97xjONLZQBmPjUbZ3GSTPA/edit?tab=t.0#heading=h.1hwy35jx1avy,This show up sequence has seminar emails that was promoted to members and webinar emails that was promoted to non-members seperately - But for 2026 we are only doing a 4h seminar with different speakers for everyone,,,,Baseline
CLC Sales sequence Jan 2023,Sales Sequence - CLC Launch Jan 2023.txt (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/go1ut-H9SY0WuTAimLLjNg/TLSx3yPAJHp6bVrhzXPsHmQaYfWZs7pCm_UnNtLEBT-o5Izi_R6iHsWGJc2F0MH54bvTKQDb-6IL3fGTKyrZ4cGII6S9Njp-K2MUzBLJwkA90QAK7MCMC5TtOXIAYj8drQafTILRdVZNlV-CIjJxx0QljRLt6teZxkY3pv3-67zHZdY42FaeKPhPPNjlY2xa/zKSE7q_EGHR7JLXwwU2calAA8NTmuOTN6KyF-mx_viw),https://docs.google.com/document/d/1xhNlDyG7a0rWHBiuQ6QtFaHOTKDhEpdMsskLN51YGCA/edit?tab=t.0#heading=h.makch9noozx4,"The emails that you need to refer in this document are seminar, webinar and closing sequence only - But for 2026 we are only doing a 4hour seminar for everyone

so we need an ultimate closing sequence ",,,,Baseline
Cert Deposit > Application > Purchase Journey,Certification Deposit to Sales Conversion Journey DNA.txt (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/7FT4qr6R6z7W9id8L3IjMA/VFieP4VOpTcJ2eN-dyez_BEKRicmrl4GkB1pmV8M3z7Eg8F7p0KKAQmubs3pWnU_vLxDKpukA9AElAX22K3GnReqP310aKDxBZkLFyv6P9FoCOqPnnlU9_NFOq7Y7Rlh84ikoWyACwgimwwuOPpOPgsx1U2gH-QT9qMaMSZb6FWsQwlZjATcGPHTFvji6mO0m3xYyd8ailfUOylkYEHy5w/mLB5QOK7KqvFXX9L_ZF_uXWGG-U2pWtlugmRjjj79Kk),https://docs.google.com/document/d/1EpUeQ2uN3k9fmXKP-ZjVbEXUMi4IGeZZtiKoftz1zrM/edit?tab=t.0#heading=h.1u9qnz71mc3,The emails here are for hypnotherapy - deposit to submit application - to finish the program purchase with single and payment plans - we need to do this journey to CLC as well.,,,,Baseline
Live Seminar Agenda ,CLC Live Seminar 2026.xlsx (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/Lw9bMlh6JoIzCKTfWzIs0g/0c9VxBxMUR6i6ybCTIYhnVvXFwok1yHr_iZvpYDsJ5O0FjMWDI2XIW2hePp8wQJXfuLuwHRczb4SKnQuKS4udhT5oJiMHgiljTeF2hOW-dRMt1ZJPVomcPtGO7SK4_LltCW2OCvl2PY5tIrC75Q8m-IWzjGPjGBC5UukLRQKVpM/TckbT_1458mFPjqmypb7zBmBcRC6BaP8zRWXjfQiq9Q),https://docs.google.com/spreadsheets/d/1MS476RfXZPaLzLFcCxPptnQ4yx7fkgHTchKFvhCkYXE/edit?gid=1536130344#gid=1536130344,This File has Live Seminar Agenda from 2022-2025,,,,Strategy
Pain & Gain Analysis,,https://seminar-page.vercel.app/pain-gain.html,The File has Pain and Gain of becoming a certified life coach,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/qdodfUIdLUoZKD3up4bxlg/7ACQSJEhJ7l5McgzUW8nbsHvXVCHUTfLzgHqB7oXw2YE09B5rTAyXo6tZeWpeTwaMWroioYr0o8bDu9cnbPFNVPnioJburTLZUXOzxP2jaenrBRnLJZl84JkTi0xhvpjYAeX7b8c37dsKaRkCF_8mQ/kDzIIOVPlTSXHzwq7R1vk2Sy5vJn2A16-HJtRGMmagg),,,Strategy
Life Coaching Application Details (w/o name and details),CLC Applications with out name and details.csv (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/Df-3OAZ2MBz0rHI2NsLbjA/WiGyBnqxXWeO5sl9lbucOo7-91iDO4G9ln3DNGmPDbePs01Kpy1mAigtHbP_l2-HPEYKAHjm72w5rEnrWEgt8Jy1fbz-iQzsu-3kriA0_zExa-qLLj47a12im4UAvpL4IeDvykydTTSlvniu-R3Gq1_tSLg9WtGtw22H2DrK50TbqQhFZqxs-8Mgd_aoPbIA/4B0k66UGl_PKz5Pybq4r9TbVuNPNhsSVnk3zcG6fCsI),https://airtable.com/appefjVxYNtP88Ueu/tbl5ptZnTLvX5fWlv/viw50cm4qDTZaDBiF?blocks=hide,Application Database for Life Coaching ,,,,Strategy
Life Coaching Application Analysis,,https://seminar-page.vercel.app/audience-profile.html,Application Analysis of Life Coaching ,Screenshot 2026-01-26 at 10.48.56 AM.png (https://v5.airtableusercontent.com/v3/u/49/49/1769407200000/WDfmmFBuye3jf7jROgLR5Q/XFrf-axfP48PEAiq2fIFcrTLz3-Oe6XJw4tV4-Y6wAylye2_-xttEj3DCML0WCRB0Ve5gRRmQeTeQvtDw6HeYJjV8cY2NZ7YndWrBuQQfaaC3Nkx2dlOxTO9eQ3Zk5AmFGXP7o9XwNXIXpJICkoefsoVbngrn5zLQJHBt5zRVqcZBP8tjvkkTyWjUuyOxDic/OGoLxqrmpt8BGEtKWN24Gftrroaz7ot0SJlxc5VIiuA),,,Strategy
CLC invite sequence 2026,,,"Dates for invite emails for 2026: 

5 feb, 6 feb, 7 feb, 9 feb, 10 feb, 12 feb, 13 feb, 14 feb (live seminar day) , 15 feb (CLC product announcement) ",,,,Strategy
CLC Show up sequence 2026,,,"Dates for show up emails for 2026: 

10 feb, 12 feb, 13 feb, 14 feb (live seminar day) , 14 feb post seminar short sales email ",,,,Strategy
